"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",82.55338,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",93.30363,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",98.09544,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",99.806,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",100.4847,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",111.3852,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",112.0498,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",102.9556,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",77.94424,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",93.5163,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",113.3417,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",114.3234,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",114.9296,,
"SLRTTO01","Total retail trade (Volume) sa, Index","CAN","Canada","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",116.2238,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",131.6519,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",118.6949,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",102.8921,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",92.26402,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",111.9348,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",122.1087,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",118.2427,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",127.3616,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",135.8235,,
"ODCNPI03","Permits issued for dwellings sa, Index","CAN","Canada","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",127.8004,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",112.6125,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",109.0489,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",101.632,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",85.07703,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",100.7348,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",109.4079,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",126.5078,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",135.1092,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",108.2059,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",111.1244,,
"WSCNDW01","Work started for dwellings sa, Index","CAN","Canada","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2010_100","2010=100",127.0848,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",102.8762,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",103.5319,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",99.50615,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",77.8635,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",92.33362,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",100.2812,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",98.19769,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",98.67529,,
"PRCNTO01","Production of total construction sa, Index","CAN","Canada","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",97.52084,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",111.6814,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",112.0813,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",99.88335,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",75.38744,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",87.78537,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",101.4831,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",107.782,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",106.9822,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",110.8815,,
"PRINTO01","Production of total industry sa, Index","CZE","Czech Republic","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",114.181,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",113.6905,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",114.4905,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",101.4915,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",74.59378,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",87.5927,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",102.2915,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",109.7908,,
"PRMNTO01","Production in total manufacturing sa, Index","CZE","Czech Republic","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",108.6909,,
